perf_var,perf_var,x1,x2,x3,x4,x5,x6,x7,x8,x9
100,100,4.5,20,22,0,0,3.42855,0.377157,80.3,1.08
400,400,29.6,317.6,6,336,98.5715,1.2143,1.65,21.9,262.98
60,60,3.4,19.2,14,0,4.2855,2.42855,0.848562,51.1,1.26
0,0,2.1,23.2,6,318,0,0,1.602843,21.9,0.72
100,100,6,17.6,6,0,0,0.7143,1.131438,21.9,1.8
10,10,1.7,282.4,,0,0,0,0.848562,,0.54
80,80,0.9,22.4,,0,0,0.07145,0.235719,,5.94
20,20,0.9,23.2,,0,0,0,0.377157,,10.44
30,30,1.8,13.6,6,3,0,0,0.282843,21.9,17.46
60,60,0.8,140.8,20,0,0,0,0.942843,73,0.54
20,20,1.9,22.4,6,0,7.5,0.0625,0.45375,21.9,2.52
100,100,5.4,20.8,6,117,2.857,0,1.367157,21.9,462.6
100,100,3.9,16.8,8,108,11.4285,0.07145,1.131438,29.2,0.9
10,10,1.8,20,16,117,3.5715,0,0.235719,58.4,0.36
10,10,0.2,281.6,12,114,5,0.07145,0.848562,43.8,0.18
0,0,0.8,19.2,6,105,0,0.2857,1.32,21.9,6.66
130,130,4.7,34.4,18,339,10.7145,0.14285,1.697157,65.7,10.08
40,40,12.8,17.6,8,339,27.857,2.92855,2.922843,29.2,3.24
,,0,8.8,,0,0,0,0.047157,,0.18
,,0.1,8,,0,0,0,0.094281,,2.34
70,70,8.9,23.2,,0,0,0.2857,0.848562,,0.54
0,0,0,20,,0,0,0,0.047157,,0.18
0,0,0,217.6,6,0,0,0,0.377157,21.9,0.18
,,0.4,12,16,0,0,0,0.04125,58.4,33.84
0,0,0.1,22.4,,0,0,0,0.141438,,0.9
10,10,2.4,12.8,6,0,0,0,0.495,21.9,20.88
10,10,3,13.6,10,0,0,0.2143,0.518562,36.5,16.56
0,0,0,14.4,,0,0,0,0.047157,,0.36
0,0,0.2,20,,0,1.4285,0,0.188562,,0.18
0,0,2.6,14.4,,0,10,0,0.707157,,28.26
30,30,3.1,22.4,,0,0,0,0.282843,,10.26
1060,1060,96,26.4,8,0,0,1.42855,3.724281,29.2,0.18
60,60,1.4,22.4,6,0,0,0,0.377157,21.9,0.36
0,0,1.6,24.8,6,0,9.2855,0,0.282843,21.9,3.96
2040,2040,142.2,46.4,92,141,0,1.7143,5.28,335.8,9.9
10,10,0.5,26.4,14,42,0,0,0.282843,51.1,3.78
40,40,0.6,22.4,6,0,0,0.14285,0.377157,21.9,22.14
30,30,9.9,24.8,2,3,0,0,1.93875,7.3,7.2
530,530,46,16.8,12,0,62.857,8.57145,5.327157,43.8,23.22
520,520,56.8,28,26,0,0,0,6.034281,94.9,1.62
10,10,1.8,16,,0,0,0,0.282843,,2.88
10,10,0.3,0,,0,0,0,0.047157,,0.9
230,230,7.8,17.6,6,0,0,0,0.471438,21.9,2.16
0,0,0.1,20,4,0,0,0,0.188562,14.6,0.36
70,70,2.3,9.6,6,0,3.5715,0,0.801438,21.9,138.42
70,70,0.3,20,14,0,0.625,0,0.20625,51.1,5.4
0,0,0.5,27.2,6,0,0,0,0.235719,21.9,10.62
10,10,1.1,25.6,,0,0,0,0.377157,,2.88
20,20,0.4,21.6,6,0,0.7145,0,0.141438,21.9,17.82
0,0,2.4,25.6,6,0,3.5715,0,0.518562,21.9,11.7
10,10,1.4,24.8,,0,0,0.42855,0.235719,,18.36
240,240,2.4,14.4,,0,5,0,0.895719,,0.9
20,20,0.4,12.8,18,0,0,0,0.235719,65.7,4.32
110,110,14.4,13.6,6,0,0,0,0.801438,21.9,16.02
460,460,20.3,365.6,6,0,0,1.7143,2.922843,21.9,1.62
10,10,0.7,24.8,4,0,0,0.14285,0.188562,14.6,59.76
50,50,5.4,15.2,2,0,1.4285,0,1.131438,7.3,13.86
30,30,2.1,26.4,2,3,4.2855,0.92855,0.33,7.3,12.78
10,10,0.4,18.4,16,114,0.7145,0,0.377157,58.4,0.72
0,0,2,16,14,108,6.4285,0.07145,0.66,51.1,3.24
20,20,0,17.6,2,120,0,0,0.047157,7.3,3.24
130,130,2.9,23.2,78,0,0,0,0.471438,284.7,0.18
40,40,1.3,18.4,82,117,1.4285,0,0.612843,299.3,0.72
90,90,13.5,51.2,,9,0,0.42855,1.461438,,9.72
30,30,0.3,24.8,,336,0,0,0.188562,,4.14
20,20,1.5,17.6,,0,0,0,0.612843,,12.42
140,140,8.8,11.2,6,3,0,0.7857,1.508562,21.9,0.36
280,280,20.4,38.4,16,0,0,1,3.535719,58.4,4.86
40,40,5.5,44,20,21,0,0.14285,1.037157,73,41.04
10,10,1.9,19.2,6,0,0,0.7143,0.895719,21.9,14.76
90,90,7.6,21.6,6,0,9.2855,0,1.65,21.9,0.36
0,0,2,15.2,6,117,5,0,0.848562,21.9,2.52
0,0,0.6,27.2,68,345,0,0.2857,0.377157,248.2,12.24
530,530,18.1,25.6,10,0,51.4285,0.14285,2.687157,36.5,3.24
,,1.6,23.2,,6,0,0,0.707157,,0.54
,,3,14.4,12,0,4.2855,0.5,0.471438,43.8,8.82
0,0,1.5,27.2,,0,0,0.42855,0.565719,,15.3
70,70,2.3,12,,120,49.2855,0,1.367157,,1.44
0,0,3.1,21.6,,117,10.7145,0,0.707157,,32.04
50,50,9.8,350.4,,78,131.4285,0.2857,4.337157,,0.72
20,20,1,16.8,6,0,0,0,0.235719,21.9,7.74
50,50,5.6,24.8,14,3,0,2.42855,0.518562,51.1,401.76
200,200,14.4,23.2,6,15,0,0,1.69125,21.9,2.52
10,10,0.8,21.6,8,0,0,0,0.33,29.2,1.08
590,590,13,22.4,6,3,68.5715,1.35715,1.414281,21.9,2.34
10,10,0.1,28,12,120,1.4285,0,1.178562,43.8,0.18
0,0,0,14.4,16,0,0,0,0.094281,58.4,2.7
100,100,4.5,21.6,6,0,0,5.57145,1.555719,21.9,40.32
60,60,3,22.4,,0,20,0.14285,1.461438,,0.18
110,110,8.6,286.4,,114,0,2.2143,2.168562,,3.42
